0,26,14,29.09,20.32,89195,25.46,76.8,89125,0.46,0.38,0.82,-0.46,-0.38,0.21,32.231529,-106.66213,12,75.19,-62719.18058776201
1,38,3,23.72,71.99,89589,22.77,35.16,92392,0.88,0.98,0.16,0.26,-0.99,-0.55,32.30402,-106.61819,5,76.22,-62808.970395692675
2,84,24,23.99,70.36,88923,20.15,57.85,92366,-0.41,0.75,0.89,0.13,-0.85,-0.14,32.377522,-106.78338,12,75.15,-62657.00613439893
3,47,36,22.96,39.96,94333,20.49,67.74,93203,0.51,0.46,-0.48,-0.49,0.73,-0.18,32.2673,-106.76811,6,61.76,-63865.74227503126
4,18,11,26.9,65.9,86507,26.45,30.32,87061,-0.52,-0.78,0.38,-0.69,-0.11,-0.38,32.354179,-106.72093,11,60.9,-62097.88282372463
5,50,41,20.83,33.35,90151,21.55,79.08,88424,-0.37,0.31,-0.23,-0.89,0.95,-0.1,32.332661,-106.81075,9,55.91,-62936.49445942326
6,19,71,26.19,20.44,87465,29.58,46.94,86294,0.75,0.47,0.92,0.72,-0.01,-0.72,32.377659,-106.76977,12,54.24,-62321.082888652316
7,71,60,27.94,62.33,90924,27.6,48.39,87502,0.91,-0.49,-0.12,-0.13,0.55,-0.98,32.24847,-106.73146,7,59.17,-63110.84921283828
8,40,46,24.53,33.1,87107,24.1,21.82,91481,0.26,-0.38,0.43,-0.23,-0.87,0.58,32.265991,-106.81864,6,55.55,-62237.90684483754
9,11,57,25.31,39.49,92610,20.17,79.93,87421,0.2,-0.28,0.47,0.12,0,0.74,32.248569,-106.64532,3,84.71,-63487.01144109865
10,11,64,21.34,34.02,86110,24.12,42.2,94197,0.74,0.4,0.99,-0.75,-0.1,0.22,32.33567,-106.69514,1,66.59,-62004.80065513414
11,65,29,26.43,32.96,93151,24.66,64.6,88915,0.24,0.53,-0.18,-0.61,0.27,0.23,32.316719,-106.75763,4,75.67,-63606.53821740715
12,70,16,23.41,34.69,90092,28.7,58.35,89674,-0.86,-0.87,-0.99,-0.26,0.61,0.83,32.397591,-106.82468,2,67.4,-62923.136995433066
13,84,11,25.85,52.33,88623,28.2,24.92,94236,-0.75,-0.51,-0.85,0.14,-0.21,0.68,32.355839,-106.61082,4,53.64,-62588.25251374619
14,11,3,23.9,50.43,89185,21.72,79.99,90284,-1,-0.8,-0.22,0.56,-0.67,-0.89,32.3908,-106.86232,7,85.58,-62716.89748266415
15,48,85,26.55,35.32,89684,20.48,27.04,91218,0.62,-0.18,-0.2,0.51,-0.33,-0.04,32.29126,-106.74232,12,74.86,-62830.57236544506
16,83,60,21.06,27.49,89703,24.44,36.2,88421,0.39,0.75,-0.17,-0.24,-0.75,0.18,32.219952,-106.67723,9,75.53,-62834.89053565322
17,31,85,25.08,52.37,91246,25.33,70.24,86541,-0.19,0.89,0.29,-0.32,0.82,-0.25,32.243462,-106.70648,4,68.87,-63183.1242421909
18,3,55,25.24,76.76,93692,20.01,32.85,89386,0.4,-0.92,-0.03,0.96,0.14,0.5,32.249008,-106.61565,3,72.82,-63725.50417439652
19,56,11,23.47,48.24,93841,25.79,57.59,89851,-0.06,-0.62,-0.9,0.41,0.76,-0.51,32.232121,-106.76102,9,61.63,-63758.17157183409
20,35,55,23.7,48.09,90810,20.47,22.26,86943,0.77,0.27,-0.85,-0.02,-0.11,0.93,32.293041,-106.65883,13,58.97,-63085.21147634438
21,84,33,26.08,61.18,89357,25.55,58.8,89114,0.01,-0.26,0.99,0.05,0.09,0.2,32.330292,-106.83631,5,50.62,-62756.138043493396
22,82,2,22.04,31.81,88514,28.98,29.96,94746,-0.57,0.12,-0.39,-0.94,0.27,-0.42,32.23415,-106.67766,6,83.74,-62563.22535014435
23,57,60,20.35,28.31,93852,21.49,47.51,86694,0.12,0.5,-0.59,-0.88,0.25,-0.01,32.360149,-106.83333,9,88.24,-63760.58159360311
24,22,35,22.57,62.24,86971,29.67,23.39,93842,-0.49,-0.38,0.56,-0.52,-0.49,0.83,32.379452,-106.63962,2,88.53,-62206.23667795014
25,52,42,24.74,40.37,88931,22.46,44.88,90985,-0.9,-0.91,0.83,0.21,-0.1,0.85,32.300419,-106.65676,7,59.72,-62658.83699149606
26,48,36,29.79,61.55,93072,24.83,48.3,87432,0.42,-0.94,-0.02,0.77,-0.16,0.53,32.323341,-106.74057,5,69.57,-63589.11932317405
27,25,12,20.15,21.45,90595,27.43,43.4,89266,-0.75,-0.06,0.88,0.6,0.94,-0.66,32.391548,-106.7293,1,65.28,-63036.788594209356
28,87,44,28.8,66.25,90068,26.46,74.36,90088,0.6,0.3,0.07,-0.69,0.82,-0.26,32.24752,-106.62279,14,74.41,-62917.701423898216
29,88,62,26.28,36.95,92150,21.81,76.26,87476,-0.04,-0.98,0.2,-0.91,-0.21,0.54,32.334202,-106.80083,4,52.12,-63384.934947592425
30,14,64,28.62,60,87386,29.42,20.9,92425,0.89,-0.14,-0.74,0.02,-0.64,-0.99,32.224972,-106.67855,15,70.96,-62302.75213618498
31,24,44,26.14,30.1,88838,22.56,36.26,93212,0.28,0.35,0.4,0.4,0.95,0.35,32.34502,-106.755,4,76.62,-62637.54503578297
32,25,54,26.69,57.75,88951,20.53,55.09,91889,-0.62,0.75,0.57,-0.89,-0.61,0.87,32.31778,-106.6649,14,53.89,-62663.413550815814
33,55,88,20.27,47.93,91123,20.59,50.45,86570,0.1,-0.57,0.21,0.71,-0.27,-0.37,32.310219,-106.78149,13,69.92,-63155.540494558205
34,8,12,22.07,48.76,87606,22.82,44.19,91226,-0.8,-0.75,-0.55,-0.82,-0.27,0.2,32.349781,-106.89855,3,70.65,-62353.7665083658
35,59,85,23.46,68.19,94141,23.12,58,89886,-0.31,0.31,-0.07,-0.36,-0.24,-0.69,32.374352,-106.78683,12,84.87,-63823.81764008648
36,55,61,21.75,29.3,87497,30,27.57,94994,0.75,-0.19,0,0.25,-0.46,0.4,32.2043,-106.8736,7,59.98,-62328.504188446204
0,76,24.5,55.18,92959,26.04,62.56,88490,0.99,-0.81,0.18,-0.84,0.54,0.18,32.30011,-106.77754,2,86.68,0,21568.49382721927
1,88,82,28.93,59.88,88850,23.95,77.56,90390,0.59,0.14,0.28,-0.28,0.74,0.25,32.377819,-106.84911,1,70.58,-62640.293398842
2,84,56,23.35,38.01,87695,25.16,35.77,94240,-0.61,0.19,0.09,0,0.56,-0.22,32.2472,-106.71091,13,58.6,-62374.3746714095
3,70,68,27.56,64.37,90512,21.57,24.43,90902,-0.54,-0.33,-0.46,0.26,-0.3,0.72,32.240711,-106.78278,10,82.73,-63018.07021095751
4,34,17,21.81,22.17,92747,25.76,50.14,87702,0.61,0.83,0.31,0.33,-0.6,0.94,32.369881,-106.82816,7,76.48,-63517.3331273938
5,67,88,22.24,44.74,91037,26.67,21.17,86174,0.27,0.86,-0.06,0.99,-0.07,-0.18,32.271729,-106.71588,5,75.37,-63136.23638142356
6,14,27,25.52,29.16,88986,23.32,50.24,87176,-0.83,-0.77,0.6,-0.74,0.98,-0.75,32.317089,-106.77981,7,84.54,-62671.42052496534
7,37,32,22.21,26.3,94322,27.29,64.69,94642,0.03,-0.95,0.11,0.33,0.1,-0.36,32.244759,-106.77864,5,63.87,-63863.34220970415
8,38,70,29.44,53.88,92239,28.81,42.24,87788,0.07,-0.61,-0.26,-0.12,-0.88,-0.69,32.393551,-106.80083,8,54.97,-63404.71667329154
9,18,40,26.88,48.77,93974,27.68,62.24,92939,-0.96,0.43,0.5,0.55,-1,-0.72,32.203609,-106.64915,4,59.91,-63787.295600919104
10,86,41,28.59,28.39,92877,22.53,60.59,88291,0.62,-0.56,-0.66,0.33,0.18,-0.42,32.204361,-106.63549,7,61.82,-63546.07201205153
11,30,89,29.43,63.9,86643,22.51,57.63,91582,0.49,-0.29,-0.5,-0.05,0.08,0.75,32.230061,-106.67502,8,62.5,-62129.69036964709
12,75,23,20.96,65.6,92463,24.88,65.51,86037,0.51,0.5,0.33,0.45,-0.17,-0.72,32.253181,-106.87046,10,80.02,-63454.436069456024
13,40,86,28.3,33.23,94988,27.82,40.94,90269,-0.61,-1,0.83,0.91,-0.33,0.33,32.20718,-106.62165,9,77.41,-64008.24842525304
14,82,29,27.28,35.74,88137,23.02,72.87,93083,-0.08,-0.51,-0.73,-0.02,0.04,-0.09,32.306061,-106.78364,13,78.55,-62476.47062433435
15,1,58,22.78,73.62,89604,20.03,48.69,87823,0.58,0.93,-0.54,0.86,-0.21,0.59,32.206402,-106.62679,12,51.1,-62812.382465833194
